screen_name,tweet_id,reply_date,reply_time,reply,collecting_date,collecting_time
RaahulPrashanth,822529429305966593,2017/1/20,19:41:12,b'RT @TimesNow: Oscar winning music director A R Rahman ends his day long fast that he held in support of the #MakkalMovement https://t.co/FF\xe2\x80\xa6',2017/1/20,12:7:21
mdzakeers,822529392131837952,2017/1/20,19:41:3,b'Will someone from sangh send @yogrishiramdev to Pakistan. This gutter mouth is speaking of uplifting Pakistan. Whr\xe2\x80\xa6 https://t.co/o7jOB1Yer3',2017/1/20,12:7:21
vaishnavikchn,822529360955588610,2017/1/20,19:40:56,"b'@TimesNow Please discuss on saving native breed of cows/bulls as well. Jallikattu is not only tamil culture, its needed to save native bulls'",2017/1/20,12:7:21
sunny_congress,822529354198446081,2017/1/20,19:40:54,b'\xe0\xa4\xac\xe0\xa5\x80\xe0\xa4\x9c\xe0\xa5\x87\xe0\xa4\xaa\xe0\xa5\x80 has an edge in USA too. https://t.co/XaHA72gh6r',2017/1/20,12:7:21
TilakPrana,822529328323919874,2017/1/20,19:40:48,b'RT @actressanjjanaa: LawMinister approves Ordinance\xf0\x9f\x91\x8d\xf0\x9f\x8f\xbb Biggest victory for #MakkalMovement \xf0\x9f\x91\x8f\xf0\x9f\x8f\xbbtrue heroes of TN\xf0\x9f\x92\xaa\xf0\x9f\x8f\xbb tune into #timesnow now \xf0\x9f\x91\x8d\xf0\x9f\x8f\xbb\xe2\x80\xa6',2017/1/20,12:7:21
TilakPrana,822529288981409792,2017/1/20,19:40:39,"b""RT @actressanjjanaa: Tune in to #TimesNow @TimesNow \nI'm live now,expressing my happiness &amp; celebrating the win of #jallikattu &amp; the win of\xe2\x80\xa6""",2017/1/20,12:7:21
atreshailendra,822529167736631298,2017/1/20,19:40:10,b'RT @TimesNow: Water level in 91 major reservoirs in the country dips to 53% of their total capacity: Govt.\n(PTI) https://t.co/qBgc6l96cx',2017/1/20,12:7:21
mrbiswal,822529119552466945,2017/1/20,19:39:58,b'RT @TimesNow: Water level in 91 major reservoirs in the country dips to 53% of their total capacity: Govt.\n(PTI) https://t.co/qBgc6l96cx',2017/1/20,12:7:21
NeerajS77158590,822529115966218240,2017/1/20,19:39:57,b'RT @TimesNow: Water level in 91 major reservoirs in the country dips to 53% of their total capacity: Govt.\n(PTI) https://t.co/qBgc6l96cx',2017/1/20,12:7:21
PIYUSH4BJP,822529096517201920,2017/1/20,19:39:53,"b""RT @iMac_too: When you talk only 'vikas' 24*7*365, ultimately vikas consumes your logical reasoning. cc: @narendramodi https://t.co/6D2Dw3j\xe2\x80\xa6""",2017/1/20,12:7:21
vaishnavikchn,822529067882643456,2017/1/20,19:39:46,b'@TimesNow Please telecast an interview with Mr.Karthikeya Sivasenathypathy who had met hon.home minister today.',2017/1/20,12:7:21
svadivel2001,822529031438471170,2017/1/20,19:39:37,b'RT @TimesNow: Water level in 91 major reservoirs in the country dips to 53% of their total capacity: Govt.\n(PTI) https://t.co/qBgc6l96cx',2017/1/20,12:7:21
Muthamizh_offl,822528860889681920,2017/1/20,19:38:56,"b'RT @TimesNow: This protest is unprecendeed in India, says PMK MP Anbumani Ramadoss after Law Ministry approves ordinance on Jallikattu #Mak\xe2\x80\xa6'",2017/1/20,12:7:21
